"Node","Betweenness","Closeness","Eigenvector","PageRank","InDegree","OutDegree","TotalDegree","LocalClustering"
"Heard Island and McDonald Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Honduras",4.56280073004812e-05,0.516304347826087,0.22890239791585,0.00415588611508157,15,1,16,0.291666666666667
"Croatia",0,0.356472795497186,0.0123583069255801,0.00305869786746602,0,1,1,0
"Haiti",0,0.496083550913838,0.0537416470968895,0.00333793193840681,3,0,3,0.333333333333333
"Hungary",0,0.513513513513513,0.133814056457071,0.00307282772174507,1,12,13,0.243589743589744
"Indonesia",0.00013964935567723,0.519125683060109,0.213135434645806,0.00557237382318276,19,1,20,0.205263157894737
"Ireland",0,0.496083550913838,0.0454952919790423,0.00307282772174507,1,1,2,1
"Israel",0,0.494791666666667,0.0455668780194259,0.00307282772174507,1,2,3,0.666666666666667
"Isle of Man",0,NA,0,0.00305869786746602,0,0,0,0
"India",0.00388025709703161,0.60126582278481,0.482841756861685,0.00373067711393385,8,59,67,0.104895104895105
"British Indian Ocean Territory",0,NA,0,0.00305869786746602,0,0,0,0
"Iraq",0.00358331950666445,0.555555555555556,0.371859080337269,0.0133899273116761,27,14,41,0.24390243902439
"Iran",0.000306122448979592,0.516304347826087,0.171082466949473,0.00338688076092604,6,9,15,0.428571428571429
"Iceland",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Italy",0,0.56547619047619,0.371787340207928,0.00307282772174507,1,45,46,0.093719806763285
"Jersey",0,NA,0,0.00305869786746602,0,0,0,0
"Jamaica",0,0.512129380053908,0.174304113806448,0.00463945697344016,12,0,12,0.333333333333333
"Jordan",0,0.517711171662125,0.240158260630178,0.00490318434624502,16,0,16,0.233333333333333
"Japan",2.07400033184005e-06,0.608974358974359,0.459417460906401,0.00307282772174507,1,70,71,0.0474849094567404
"Kenya",0,0.517711171662125,0.241844240468715,0.00431297071567828,17,0,17,0.132352941176471
"Kyrgyzstan",0,0.510752688172043,0.192394123793928,0.00391614981870507,12,0,12,0.318181818181818
"Cambodia",0,0.50531914893617,0.143469424367151,0.0110200859630597,10,0,10,0.4
"Kiribati",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Comoros",0,0.502645502645503,0.13924130609721,0.00330409600993569,7,0,7,0.380952380952381
"Saint Kitts and Nevis",0,NA,0,0.00305869786746602,0,0,0,0
"North Korea",0,0.343580470162749,0.00812397437941363,0.00305869786746602,0,1,1,0
"South Korea",0,0.464547677261614,0.341769130843058,0.00305869786746602,0,47,47,0.0434782608695652
"Kuwait",2.07400033184005e-06,0.629139072847682,0.554552222839938,0.00307282772174507,1,79,80,0.059396299902629
"Cayman Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Kazakhstan",0,0.5,0.1088415348687,0.00322512275419064,5,1,6,0.733333333333333
"Lao PDR",0,0.50531914893617,0.124252545650423,0.00525131373104102,11,0,11,0.218181818181818
"Lebanon",0,0.502645502645503,0.172925639457032,0.00347120888441848,10,0,10,0.288888888888889
"St. Lucia",0,0.50131926121372,0.0894703095209029,0.00403242501578684,5,0,5,0.2
"Liechtenstein",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Sri Lanka",0,0.517711171662125,0.217606171680703,0.00655759948028217,17,0,17,0.257352941176471
"Liberia",0,0.502645502645503,0.131684692859669,0.00332408835819939,7,0,7,0.285714285714286
"Lesotho",0,0.503978779840849,0.136034905265311,0.00377358465194292,8,0,8,0.285714285714286
"Lithuania",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Luxembourg",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Latvia",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Libya",0,0.526315789473684,0.187704883810108,0.00307282772174507,1,21,22,0.116883116883117
"Morocco",4.47984071677452e-05,0.514905149051491,0.198289834687249,0.00449803963683651,14,1,15,0.20952380952381
"Monaco",0,NA,0,0.00305869786746602,0,0,0,0
"Moldova",0,0.506666666666667,0.131187244277608,0.00387656518116782,9,0,9,0.194444444444444
"Montenegro",0,0.519125683060109,0.20652547246865,0.00477301993186845,17,0,17,0.147058823529412
"Madagascar",0,0.514905149051491,0.2307072883909,0.00457018678020055,15,0,15,0.314285714285714
"Marshall Islands",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"North Macedonia",0,0.506666666666667,0.160022693647214,0.0039514641851679,10,0,10,0.377777777777778
"Mali",0,0.517711171662125,0.22312656417135,0.00689515139918281,16,0,16,0.258333333333333
"Myanmar",0,0.517711171662125,0.193779494222573,0.00535738779878144,16,0,16,0.158333333333333
"Mongolia",0,0.517711171662125,0.22311188659904,0.00568983262111921,17,0,17,0.147058823529412
"Macau",0,NA,0,0.00305869786746602,0,0,0,0
"Northern Mariana Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Martinique",0,NA,0,0.00305869786746602,0,0,0,0
"Mauritania",0,0.513513513513513,0.207278885504619,0.00458574893840514,14,0,14,0.320512820512821
"Montserrat",0,NA,0,0.00305869786746602,0,0,0,0
"Malta",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Mauritius",0,0.442890442890443,0.131201212375199,0.00339204182855871,8,0,8,0.142857142857143
"Maldives",0,0.508021390374332,0.19104837254146,0.00350880359016451,11,0,11,0.254545454545455
"Malawi",0,0.50531914893617,0.158707905490398,0.00343319888604516,9,0,9,0.305555555555556
